stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2799,2117,"Ofiar Terroryzmu 11 Września-Dell NŻ",,51.733490,19.568570,1,,0,,,0
2800,2118,"OLECHÓW",,51.733590,19.575660,1,,0,,,0
2801,2119,"OLECHÓW",,51.734100,19.576690,1,,0,,,0
2802,2127,"Piłsudskiego-CH Tulipan",,51.762670,19.496320,1,,0,,,0
2803,2128,"Piłsudskiego-CH Tulipan",,51.762470,19.497990,1,,0,,,0
2805,2132,"cm. Zarzew",,51.749250,19.520210,1,,0,,,0
2806,2133,"Lodowa-Przybyszewskiego",,51.751030,19.520480,1,,0,,,0
2807,2134,"Lodowa-Przybyszewskiego",,51.751210,19.520550,1,,0,,,0
2808,4265,"Ogrodowa-Karskiego",,51.776940,19.440080,1,,0,,,0
2811,2137,"Mickiewicza-Kościuszki",,51.758860,19.454800,1,,0,,,0
2813,2138,"Zgierska-cm. Radogoszcz",,51.806980,19.439490,1,,0,,,0
2814,2139,"Zgierska-cm. Radogoszcz",,51.806910,19.439410,1,,0,,,0
2815,3521,"Bronisin Dworski-Pogodna NŻ",,51.692480,19.533810,1,,0,,,0
2816,3522,"Bronisin Dworski-Pogodna NŻ",,51.692380,19.533640,1,,0,,,0
2819,2141,"Żeromskiego-Mickiewicza",,51.759990,19.447810,1,,0,,,0
2823,1300,"Pomorska-Edwarda",,51.774950,19.520820,1,,0,,,0
2824,2051,"Pomorska-Dw. Łódź Stoki NŻ",,51.776030,19.510180,1,,0,,,0
2832,2143,"Sąsieczno",,51.744840,19.627230,1,,0,,,0
2833,2144,"Gajcego-Rataja NŻ",,51.747850,19.623130,1,,0,,,0
2834,2145,"Gajcego-Rataja NŻ",,51.747800,19.623220,1,,0,,,0
2835,2146,"Gajcego-Szelburg-Zarembiny NŻ",,51.745790,19.620020,1,,0,,,0
2836,2147,"Gajcego-Szelburg-Zarembiny NŻ",,51.745780,19.620110,1,,0,,,0
2837,2148,"Gajcego-Dw. Łódź Andrzejów NŻ",,51.742530,19.615060,1,,0,,,0
2838,2149,"Gajcego-Dw. Łódź Andrzejów NŻ",,51.742500,19.615170,1,,0,,,0
2839,2150,"Gajcego-Rokicińska NŻ",,51.740840,19.612640,1,,0,,,0
2852,2156,"6 Sierpnia-Pogonowskiego NŻ",,51.767450,19.441840,1,,0,,,0
2854,2155,"Pabianicka-Wólczańska",,51.736030,19.458720,1,,0,,,0
2859,2154,"Pabianicka-Wólczańska",,51.736570,19.459640,1,,0,,,0
2860,2174,"Okólna-Łagiewnicka",,51.846610,19.469040,1,,0,,,0
2861,2177,"Kilińskiego-Dw. Łódź Chojny",,51.727840,19.480220,1,,0,,,0
2863,2179,"Niższa-Śląska",,51.728990,19.490040,1,,0,,,0
2864,2180,"Niższa-Śląska",,51.729140,19.489860,1,,0,,,0
2865,0864,"Poronińska-Dw. Łódź Stoki NŻ",,51.776380,19.509730,1,,0,,,0
2866,0975,"CKD stomatologia",,51.775630,19.508200,1,,0,,,0
2867,1119,"Szczecińska-cm. Szczecińska",,51.816860,19.382940,1,,0,,,0
2868,1120,"Szczecińska-Liściasta NŻ",,51.822730,19.389050,1,,0,,,0
2869,1126,"Szczecińska-Liściasta NŻ",,51.822760,19.388990,1,,0,,,0
2870,1127,"Szczecińska-cm. Szczecińska",,51.816360,19.382240,1,,0,,,0
2871,1459,"Pomorska-Edwarda",,51.775040,19.520730,1,,0,,,0
2872,1509,"Szczecińska-Rojna",,51.795270,19.359750,1,,0,,,0
